Date,portfolio_excess_return,cumulative_excess_return,wealth_index,running_peak,drawdown
2012-12-01,0.04542645200683898,0.045426452006839035,1.045426452006839,1.045426452006839,0.0
2013-01-01,-0.031073434061031645,0.012941462084746114,1.0129414620847461,1.045426452006839,-0.0310734340610318
2013-02-01,-0.02150287146141028,-0.008839687972395205,0.9911603120276048,1.045426452006839,-0.051908137463963167
2013-03-01,0.045427249669238716,0.0361859989843234,1.0361859989843234,1.045426452006839,-0.008838931715164922
2013-04-01,0.03624641839161408,0.07374403023504184,1.0737440302350418,1.0737440302350418,0.0
2013-05-01,-0.04772177212301826,0.02250306230571386,1.0225030623057139,1.0737440302350418,-0.04772177212301831
2013-06-01,-0.010555913567728234,0.011709608357277412,1.0117096083572774,1.0737440302350418,-0.05777393878891701
2013-07-01,-0.002635297238440154,0.009043452820270081,1.00904345282027,1.0737440302350418,-0.060256984526013024
2013-08-01,-0.07234368511309704,-0.06395446899599178,0.9360455310040082,1.0737440302350418,-0.1282414573246955
2013-09-01,0.35488408597635274,0.26823319370661536,1.2682331937066154,1.2682331937066154,0.0
2013-10-01,0.04411729483689404,0.32418421143530574,1.3241842114353057,1.3241842114353057,0.0
2013-11-01,0.010820270460515284,0.33851224274257996,1.33851224274258,1.33851224274258,0.0
2013-12-01,0.0286934175281695,0.37691873339015936,1.3769187333901594,1.3769187333901594,0.0
2014-01-01,-0.013267839943239766,0.35864999602069036,1.3586499960206904,1.3769187333901594,-0.013267839943239768
2014-02-01,-0.058696821223885365,0.27890156009843126,1.2789015600984313,1.3769187333901594,-0.07118588113794966
2014-03-01,0.20854349480776815,0.5456081609564651,1.5456081609564651,1.5456081609564651,0.0
2014-04-01,0.008074840549523067,0.55808870040823,1.55808870040823,1.55808870040823,0.0
2014-05-01,0.01443028893926911,0.5805723705481312,1.5805723705481312,1.5805723705481312,0.0
2014-06-01,-0.007096538262878744,0.5693557782432874,1.5693557782432874,1.5805723705481312,-0.007096538262878704
2014-07-01,-0.006431451136999117,0.5592625432389484,1.5592625432389484,1.5805723705481312,-0.013482348360798313
2014-08-01,-0.04249923879847799,0.49299507206431437,1.4929950720643144,1.5805723705481312,-0.05540859761672645
2014-09-01,-0.06669565031938274,0.39341879480935127,1.3934187948093513,1.5805723705481312,-0.1184087354847766
2014-10-01,-0.02939162631519948,0.35246395029173927,1.3524639502917393,1.5805723705481312,-0.1443201364941521
2014-11-01,-0.029820036553664372,0.31213342585652626,1.3121334258565263,1.5805723705481312,-0.1698365413021311
2014-12-01,0.03835702495507698,0.3624629604164957,1.3624629604164957,1.5805723705481312,-0.13799394080006389
2015-01-01,-0.06793900308682324,0.2698985851430771,1.269898585143077,1.5805723705481312,-0.1965577731169087
2015-02-01,-0.051194065678869714,0.20488731356975864,1.2048873135697586,1.5805723705481312,-0.23768924724913898
2015-03-01,0.019184731122409593,0.22800275271339698,1.228002752713397,1.5805723705481312,-0.22306452042589198
2015-04-01,-0.022262564453495524,0.20066426228204515,1.2006642622820451,1.5805723705481312,-0.24036109661611804
2015-05-01,-0.06373698754999495,0.12413753914525061,1.1241375391452506,1.5805723705481312,-0.2887781919435882
2015-06-01,-0.11065606785770106,-0.00025510066779532714,0.9997448993322047,1.5805723705481312,-0.3674792005977554
2015-07-01,-0.24420501564424388,-0.24439781944946937,0.7556021805505306,1.5805723705481312,-0.5219439523110903
2015-08-01,-0.06040289835571379,-0.2900383811586188,0.7099616188413812,1.5805723705481312,-0.5508199231679777
2015-09-01,-0.013920540834282397,-0.29992143086447354,0.7000785691355265,1.5805723705481312,-0.557072752769464
2015-10-01,-0.04173339381176991,-0.32913808548938683,0.6708619145106132,1.5805723705481312,-0.5755576100080991
2015-11-01,-0.062209670705208865,-0.3708721842797581,0.6291278157202419,1.5805723705481312,-0.6019620313228271
2015-12-01,-0.3242505653350497,-0.5748672341950515,0.4251327658049485,1.5805723705481312,-0.7310260676912153
2016-01-01,-0.20735421333600693,-0.6630203044118974,0.3369796955881026,1.5805723705481312,-0.7867989458329956
2016-02-01,0.2711344088099769,-0.5716535138676513,0.42834648613234877,1.5805723705481312,-0.728992804053761
2016-03-01,-0.01578108396965275,-0.5784132857334114,0.4215867142665885,1.5805723705481312,-0.7332695913693688
2016-04-01,0.15883458547538074,-0.51145073473095,0.4885492652690499,1.5805723705481312,-0.6909035774808435
2016-05-01,0.021683130285768674,-0.5008574573611047,0.4991425426388953,1.5805723705481312,-0.6842013994804956
2016-06-01,0.02760184194408499,-0.4870802037916173,0.5129197962083827,1.5805723705481312,-0.6754847764227931
2016-07-01,0.062226531382062716,-0.4551629839963752,0.5448370160036248,1.5805723705481312,-0.655291319678909
2016-08-01,0.025692616496686024,-0.44116469549099535,0.5588353045090046,1.5805723705481312,-0.6464348517523404
2016-09-01,0.042842774962782874,-0.41722264029865785,0.5827773597013421,1.5805723705481312,-0.631287139671283
2016-10-01,0.03614841500820356,-0.3961561624427885,0.6038438375572115,1.5805723705481312,-0.6179587541772587
2016-11-01,0.04393951153658561,-0.3696235591761472,0.6303764408238528,1.5805723705481312,-0.6011720484489789
2016-12-01,0.039223825878645084,-0.3448977834232724,0.6551022165767276,1.5805723705481312,-0.5855284903218048
2017-01-01,0.023498836679432193,-0.32950364342760186,0.6704963565723981,1.5805723705481312,-0.5757888920075993
2017-02-01,-0.003445191510597726,-0.3318136317831518,0.6681863682168482,1.5805723705481312,-0.577250380515556
2017-03-01,0.014059772736058813,-0.32241908330069047,0.6775809166993095,1.5805723705481312,-0.5713066169413493
2017-04-01,-7.291334555721317e-06,-0.3224240237698427,0.6775759762301573,1.5805723705481312,-0.571309742688227
2017-05-01,0.0025214920493244427,-0.3207155213329651,0.6792844786670349,1.5805723705481312,-0.5702288036127925
2017-06-01,0.0032006393984208726,-0.3185413766678076,0.6814586233321924,1.5805723705481312,-0.5688532609893291
2017-07-01,-0.00866442842916853,-0.32444582613710904,0.675554173862891,1.5805723705481312,-0.5725889010519565
2017-08-01,0.02245432428943406,-0.30927671364211085,0.6907232863578892,1.5805723705481312,-0.5629916736312737
2017-09-01,0.011309991690833526,-0.3014646390127379,0.6985353609872621,1.5805723705481312,-0.5580491130912183
2017-10-01,-0.016235130604516756,-0.31280545183023933,0.6871945481697607,1.5805723705481312,-0.5652242434609644
2017-11-01,-0.004484500439038806,-0.3158871760832117,0.6841128239167883,1.5805723705481312,-0.5671739955320472
2017-12-01,0.023732496979922732,-0.2996514705556802,0.7003485294443198,1.5805723705481312,-0.5569019536881794
2018-01-01,-0.06248621300395188,-0.3434135979435424,0.6565864020564576,1.5805723705481312,-0.5845894725916547
2018-02-01,-0.058691001922077574,-0.381949311728648,0.618050688271352,1.5805723705481312,-0.6089703326542293
2018-03-01,0.04792636679070947,-0.3523283877473047,0.6476716122526953,1.5805723705481312,-0.5902297013909668
2018-04-01,0.015179366031023437,-0.34249714327701786,0.6575028567229821,1.5805723705481312,-0.5840096480397383
2018-05-01,0.015364317465425707,-0.3323950606519017,0.6676049393480983,1.5805723705481312,-0.5776182402096668
2018-06-01,0.031268511696869075,-0.31152004779700804,0.688479952202992,1.5805723705481312,-0.5644109912131186
2018-07-01,-0.004699360669582411,-0.31475546340618676,0.6852445365938132,1.5805723705481312,-0.5664579810691139
2018-08-01,0.011115174218077926,-0.3071388509999604,0.6928611490000396,1.5805723705481312,-0.56163908599784
